担当	グラフィック（海野さん）	グラフィック（敏さん）	グラフィック（敏さん）	グラフィック（敏さん）	プランナー（松宮さん）	プランナー（松宮さん）
AREA_ID_ROOM20	room20o.xls	room20_tex_set.xls	dummy	dummy	area_04d.xls	OFF
AREA_ID_ROOM21	room21o.xls	room21_tex_set.xls	dummy	dummy	area_04d.xls	OFF
AREA_ID_ROOM22	room22o.xls	room22_tex_set.xls	dummy	dummy	area_04d.xls	OFF
AREA_ID_ROOM23	room23o.xls	room23_tex_set.xls	dummy	dummy	area_04d.xls	OFF
AREA_ID_DUNGEON01	dun01o.xls	texset_dun01.xls	dun00_tex_set.xls	dun01_tex_set.xls	area_01d.xls	OFF
AREA_ID_DUNGEON02	dun02o.xls	texset_dun02.xls	area00_tex_set.xls	dun02_tex_set.xls	area_01d.xls	ON
AREA_ID_DUNGEON03	dun03o.xls	texset_dun03.xls	dun00_tex_set.xls	dun03_tex_set.xls	area_01d.xls	OFF
AREA_ID_DUNGEON04	dun04o.xls	dun04_tex_set.xls	dummy	dummy	area_01d.xls	OFF
AREA_ID_DUNGEON05	dun05o.xls	dun05_tex_set.xls	dummy	dummy	area_01d.xls	OFF
AREA_ID_DUNGEON06	dun06o.xls	dun06_tex_set.xls	dummy	dummy	area_01d.xls	OFF
AREA_ID_DUNGEON07	dun07o.xls	texset_dun07.xls	area00_tex_set.xls	dun07_tex_set.xls	area_01d.xls	ON
AREA_ID_DUNGEON08	dun08o.xls	texset_dun08.xls	area00_tex_set.xls	dun08_tex_set.xls	area_01d.xls	OFF
AREA_ID_DUNGEON09	dun09o.xls	texset_dun09.xls	area00_tex_set.xls	dun09_tex_set.xls	area_01d.xls	ON
AREA_ID_DUNGEON10	dun10o.xls	texset_dun10.xls	area00_tex_set.xls	dun10_tex_set.xls	area_01d.xls	ON
AREA_ID_DUNGEON11	dun11o.xls	texset_dun11.xls	area00_tex_set.xls	dun11_tex_set.xls	area_01d.xls	ON
AREA_ID_DUNGEON12	dun12o.xls	texset_dun12.xls	area00_tex_set.xls	dun12_tex_set.xls	area_01d.xls	ON
AREA_ID_DUNGEON13	dun13o.xls	dun13_tex_set.xls	dummy	dummy	area_01d.xls	OFF
AREA_ID_DUNGEON14	dun14o.xls	dun14_tex_set.xls	dummy	dummy	area_01d.xls	OFF
AREA_ID_DUNGEON15	dun15o.xls	dun15_tex_set.xls	dummy	dummy	area_01d.xls	OFF
AREA_ID_DUNGEON16	dun16o.xls	dun16_tex_set.xls	dummy	dummy	area_01d.xls	OFF
