ID	MAPRESOURCE	MOVE_MODEL	MATRIX	event	script	msg	encount	maptype	bicycle	dash	escape	fly	BGM_DAY	BGM_NIGHT	WEATHER	CAMERA	BATTLE_BG	PLACE_NAME	備考
C03R0501	AREA_ID_ROOM01	MMLID_NOENTRY	HOUSE01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY03_D	SEQ_CITY03_N	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C3KUROGANE	クロガネ：民家２
C03R0601	AREA_ID_ROOM12	MMLID_NOENTRY	BUIL01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY03_D	SEQ_CITY03_N	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C3KUROGANE	2/2追加　クロガネ：ビル3＿１Ｆ
C03R0602	AREA_ID_ROOM12	MMLID_NOENTRY	BUIL06	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY03_D	SEQ_CITY03_N	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C3KUROGANE	2/2追加　クロガネ：ビル3＿２Ｆ
C03R0603	AREA_ID_ROOM12	MMLID_NOENTRY	BUIL06	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY03_D	SEQ_CITY03_N	SUNNY	0	BG_ID_ROOM_A	MAPNAME_C3KUROGANE	2/2追加　クロガネ：ビル3＿３Ｆ
C03R0701	AREA_ID_ROOM01	MMLID_NOENTRY	HOUSE01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY03_D	SEQ_CITY03_N	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C3KUROGANE	クロガネ：民家3
C04	AREA_ID_AREA03	MMLID_AREA03	SINOU	○	○	○	○	MAPTYPE_TOWN	○	○	×	○	SEQ_CITY04_D	SEQ_CITY04_N	SUNNY	0	BG_ID_CITY	MAPNAME_C4HAKUTAI	ハクタイシティ
C04FS0101	AREA_ID_ROOM03	MMLID_NOENTRY	FS01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_FS	SEQ_FS	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C4HAKUTAI	ハクタイ：フレンドリィショップ
C04GYM0101	AREA_ID_ROOM07	MMLID_NOENTRY	GYM0401	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_GYM	SEQ_GYM	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C4HAKUTAI	2/2変更　ハクタイポケモンジム1（草）
C04GYM0102	AREA_ID_ROOM07	MMLID_NOENTRY	GYM0402	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_GYM	SEQ_GYM	SUNNY	9	BG_ID_ROOM_A	MAPNAME_C4HAKUTAI	2/2変更　ハクタイポケモンジム2（草）
C04PC0101	AREA_ID_ROOM02	MMLID_NOENTRY	PC01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_PC_01	SEQ_PC_02	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C4HAKUTAI	ハクタイ：ポケモンセンター＿１Ｆ
C04PC0102	AREA_ID_ROOM02	MMLID_NOENTRY	PC02	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_PC_01	SEQ_PC_02	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C4HAKUTAI	ハクタイ：ポケモンセンター＿２Ｆ
C04R0101	AREA_ID_ROOM03	MMLID_NOENTRY	BIKE01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY04_D	SEQ_CITY04_N	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C4BICYCLE	2/2変更　ハクタイ：自転車屋＿１Ｆ
C04R0201	AREA_ID_ROOM12	MMLID_NOENTRY	BUIL01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_D_GINLOBBY	SEQ_D_GINLOBBY	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C4HAKUTAI	2/2変更　ハクタイ：ギンガ団支部ビル＿１Ｆ
C04R0202	AREA_ID_ROOM12	MMLID_NOENTRY	BUIL02	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_D_GINLOBBY	SEQ_D_GINLOBBY	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C4HAKUTAI	2/2追加　ハクタイ：ギンガ団支部ビル＿２Ｆ
C04R0203	AREA_ID_ROOM12	MMLID_NOENTRY	BUIL03	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_D_GINLOBBY	SEQ_D_GINLOBBY	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C4HAKUTAI	2/2追加　ハクタイ：ギンガ団支部ビル＿３Ｆ
C04R0204	AREA_ID_ROOM12	MMLID_NOENTRY	BUIL06	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_D_GINLOBBY	SEQ_D_GINLOBBY	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C4HAKUTAI	2/2追加　ハクタイ：ギンガ団支部ビル＿４Ｆ
C04R0301	AREA_ID_ROOM12	MMLID_NOENTRY	BUIL01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY04_D	SEQ_CITY04_N	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C4HAKUTAI	2/2変更　ハクタイ：一般住居ビル＿１Ｆ
C04R0302	AREA_ID_ROOM12	MMLID_NOENTRY	BUIL04	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY04_D	SEQ_CITY04_N	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C4HAKUTAI	2/2追加　ハクタイ：一般住居ビル＿２Ｆ(姓名判断）
C04R0303	AREA_ID_ROOM12	MMLID_NOENTRY	BUIL06	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY04_D	SEQ_CITY04_N	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C4HAKUTAI	2/2追加　ハクタイ：一般住居ビル＿３Ｆ
C04R0304	AREA_ID_ROOM12	MMLID_NOENTRY	BUIL06	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY04_D	SEQ_CITY04_N	SUNNY	0	BG_ID_ROOM_A	MAPNAME_C4HAKUTAI	2/2追加　ハクタイ：一般住居ビル＿４Ｆ
C04R0401	AREA_ID_ROOM12	MMLID_NOENTRY	GATE03	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_ROAD_D_D	SEQ_ROAD_D_N	SUNNY	4	BG_ID_ROOM_A	MAPNAME_R206	ハクタイ：サイクリングゲートＳ
C04R0501	AREA_ID_ROOM01	MMLID_NOENTRY	ITEM01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY04_D	SEQ_CITY04_N	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C4HAKUTAI	ハクタイ：民家１（漢方屋）
C04R0601	AREA_ID_ROOM01	MMLID_NOENTRY	HOUSE02	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY04_D	SEQ_CITY04_N	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C4HAKUTAI	ハクタイ：民家２
C04R0701	AREA_ID_ROOM01	MMLID_NOENTRY	HOUSE02	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY04_D	SEQ_CITY04_N	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C4HAKUTAI	ハクタイ：民家３＿
C04R0801	AREA_ID_ROOM01	MMLID_NOENTRY	HOUSE05	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY04_D	SEQ_CITY04_N	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C4HAKUTAI	地下オヤジの家
C04R0901	AREA_ID_ROOM01	AREA_ID_ROOM01	HOUSE01	○	×	×	×	MAPTYPE_ROOM	×	×	×	×	SEQ_DUMMY	SEQ_DUMMY	SUNNY	0	BG_ID_ROOM_A	MAPNAME_C4HAKUTAI	2/4削除予定
C05	AREA_ID_AREA04	MMLID_AREA04	SINOU	○	○	○	×	MAPTYPE_TOWN	○	○	×	○	SEQ_CITY05_D	SEQ_CITY05_N	SUNNY	0	BG_ID_CITY	MAPNAME_C5YOSUGA	ヨスガシティ
C05FS0101	AREA_ID_ROOM03	MMLID_NOENTRY	FS01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_FS	SEQ_FS	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C5YOSUGA	2/2追加　フレンドリィショップ
C05GYM0101	AREA_ID_ROOM08	MMLID_NOENTRY	GYM0501	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_GYM	SEQ_GYM	SUNNY	0	BG_ID_ROOM_A	MAPNAME_C5YOSUGA	2/2追加　ヨスガジム（ゴースト）
C05GYM0102	AREA_ID_ROOM08	MMLID_NOENTRY	GYM0502	○	×	×	×	MAPTYPE_ROOM	×	×	×	×	SEQ_GYM	SEQ_GYM	SUNNY	0	BG_ID_ROOM_A	MAPNAME_C5YOSUGA	2/2追加　ヨスガジム（ゴースト）
C05GYM0103	AREA_ID_ROOM08	MMLID_NOENTRY	GYM0502	○	×	×	×	MAPTYPE_ROOM	×	×	×	×	SEQ_GYM	SEQ_GYM	SUNNY	0	BG_ID_ROOM_A	MAPNAME_C5YOSUGA	2/3追加　ヨスガジム（ゴースト）
C05GYM0104	AREA_ID_ROOM08	MMLID_NOENTRY	GYM0503	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_GYM	SEQ_GYM	SUNNY	0	BG_ID_ROOM_A	MAPNAME_C5YOSUGA	2/3追加　ヨスガジム（ゴースト）
C05GYM0105	AREA_ID_ROOM08	MMLID_NOENTRY	GYM0502	○	×	×	×	MAPTYPE_ROOM	×	×	×	×	SEQ_GYM	SEQ_GYM	SUNNY	0	BG_ID_ROOM_A	MAPNAME_C5YOSUGA	2/7追加　ヨスガジム（ゴースト）
C05GYM0106	AREA_ID_ROOM08	MMLID_NOENTRY	GYM0503	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_GYM	SEQ_GYM	SUNNY	0	BG_ID_ROOM_A	MAPNAME_C5YOSUGA	2/7追加　ヨスガジム（ゴースト）
C05GYM0107	AREA_ID_ROOM08	MMLID_NOENTRY	GYM0502	○	×	×	×	MAPTYPE_ROOM	×	×	×	×	SEQ_GYM	SEQ_GYM	SUNNY	0	BG_ID_ROOM_A	MAPNAME_C5YOSUGA	2/7追加　ヨスガジム（ゴースト）
