text	height	color	version	centering	enable
デバッグプレイ	16	2			*
	8				*
　　やの　あきら	16				*
	8				*
　　スーパーマリオクラブ	16				*
	160				*
スペシャルサンクス	16	2			*
	8				*
　　とみなが　けんじ	16				*
	8				*
　　たじり　よしお	16				*
	8				*
　　さいとう　まさふみ	16				*
	8				*
　　つるた　さや	16				*
	8				*
　　リ　ヒョンジョン	16				*
	8				*
　　おおた　たけのり	16				*
	8				*
　　ささき　ていこ	16				*
	8				*
　　もり　ゆういちろう	16				*
	8				*
　　はまの　さちこ	16				*
	8				*
　　えんどう　えみ	16				*
	32				*
　　いとう　けんじろう	16				*
	8				*
　　こむら　ともたか	16				*
	8				*
　　ふくなが　すすむ	16				*
	8				*
　　たなか　まさみ	16				*
	8				*
　　たきざわ　みちこ	16				*
	8				*
　　あらい　けんいち	16				*
	8				*
　　ほし　ゆみ	16				*
	8				*
　　こが　じろう	16				*
	8				*
　　おかむら　のりひで	16				*
	8				*
　　こほり　しゅんすけ	16				*
	32				*
　　こんどう　たかなお	16				*
	8				*
　　うえすぎ　ひろゆき	16				*
	8				*
　　むらかわ　てるき	16				*
	8				*
　　なかみち　きみこ	16				*
	8				*
　　やまもと　そういち	16				*
	8				*
　　きなし　あきら	16				*
	8				*
　　あくね　ひろし	16				*
	8				*
　　なかの　たかお	16				*
	160				*
じょうほうかんり	16	2			*
	8				*
　　さがわ　ひろみ	16				*
	8				*
　　さくらい　ゆうり	16				*
	8				*
　　やなせ　なおこ	16				*
	160				*
アートワーク	16	2			*
	8				*
　　なかみち　さちこ	16				*
	8				*
　　おえ　きよみ	16				*
	8				*
　　たかはし　やすこ	16				*
	160				*
コーディネーター	16	2			*
	8				*
　　えがみ　しゅうさく	16				*
	8				*
　　よしはら　かずき	16				*
	8				*
　　あんどう　かおり	16				*
	160				*
プロデューサー	16	2			*
	8				*
　　じんない　ひろゆき	16				*
	8				*
　　やまがみ　ひとし	16				*
	8				*
　　のもと　がくじ	16				*
	8				*
　　つる　ひろあき	16				*
	272				*
エグゼクティブ　プロデューサー	16	2			*
	8				*
　　たじり　さとし	16				*
	16				*
　　いわた　さとる	16				*
	16				*
　　いしはら　つねかず	16				*
おわり	16				*
					

					
	7568				









